name,rating,courses,fees_range,package,city
Dream Institute Of Technology,3.7,12,1800000 - 3400000,2.4 LPA,Kolkata
Dr. Panjabrao Deshmukh Institute of Management Technology and Research,4.5,1 Course,14,4,Nagpur
MP Birla Institute of Management,3.9,2,1200000 - 5300000,5 LPA,Bangalore
"Jindal Global Law School, O.P. Jindal Global University",4.3,9,1500000 - 31300000,3.7,Sonepat
NEF Law College,3.9,5,71000 - 1800000,0.59 - 0.65 LPA,Guwahati
"School of Optometry, Bharati Vidyapeeth",NULL,3,1500000 - 2500000,4.2 - 6.45 LPA,Pune
Datta Meghe Medical College,3.4,6,1200000 - 1600000,13.2 LPA,Nagpur
"MIT School of Bio-Engineering Sciences and Research, MIT-ADT University",4.2,6,1900000 - 8800000,4.25 - 5.15 LPA,Pune
Mangalayatan University,4,127,18000 - 6700000,3 LPA,Aligarh
College of Hospitality Administration,4.4,7,65000 - 3100000,5,Jaipur
IEC University,4.4,72,20000 - 4400000,4.1,Solan
Dharmashastra National Law University,3.5,2,1100000 - 5500000,3.1,Jabalpur
"Jagannath Institute of Management Sciences, Vasant Kunj II",4.3,5,42,4 LPA,Delhi
"School of Design, UPES",4.3,15,9400000 - 20400000,3.6 - 6.5 LPA,Dehradun
"Institute of Hotel Management, Ahmedabad",4.1,11,30000 - 1800000,4.2,Gandhinagar
Rajarshi Shahu College of Pharmacy and Research,4.2,3,200000 - 3700000,1.5 - 2.1 LPA,Pune
Deen Dayal Upadhyaya Gorakhpur University,4.1,191,3000 - 400000,0.96 - 2.05 LPA,Gorakhpur
Lucknow Institute of Technology,4.5,15,100000 - 2400000,4.3,Lucknow
International School of Management Studies,4.9,5,400000 - 11900000,5,Pune
G.B. Pant Delhi Skill and Entrepreneurship University - Okhla: I Campus,3.5,6,2200000 - 5800000,3.3,Delhi
Govt. Engineering College Bharatpur,3.5,8,1900000 - 200000,3.3,Bharatpur
"Bharatiya Vidya Bhavan's Film, TV and Animation Studies",3.5,22,94000 - 96000,3,Delhi
Gujarat Adani Institute of Medical Sciences,4.2,17,3000 - 7500000,4.3,Bhuj
"Rayat Institute of Management, S.B.S Nagar",3.4,4,1400000 - 1700000,2,Punjab - Other
Institute of Technical Education and Research,4,13,2400000 - 9200000,3.8,Bhubaneswar
DIT University - Admission Office,NULL,94,100000 - 13300000,7.5 LPA,Delhi
Scope College of Engineering,3.7,14,765000 - 200000,3.5,Bhopal
"Heritage Institute of Hotel and Tourism, Shimla",NULL,6,– / –,– / –,Shimla
Rajendra Mane College of Engineering and Technology (RMCET),3.8,9,80000 - 2800000,2.32 LPA,Ratnagiri
IHM Aurangabad - Institute of Hotel Management,4.8,6,60000 - 1600000,5,Aurangabad
Priyadarshini Institute of Architecture and Design Studies,4.2,4,1700000 - 5300000,4,Nagpur
"Apollo Institute of Medical Sciences and Research, Chittoor",5,29,60000 - 3200000,5,Chittoor
Technocrats Institute of Technology (Excellence),3.9,13,1100000 - 300000,3.9,Bhopal
Hindustan Institute of Management and Computer Studies,4,4,1200000 - 2300000,3.8 LPA,Mathura
"J.N. Kapoor, D.A.V Centenary Dental College",NULL,7,12500000 - 20600000,– / –,Yamuna Nagar
Kerala Law Academy Law College,3.8,5,– / –,3,Thiruvananthapuram
"Amity International Business School (AIBS), Amity University, Noida",4.1,17,300000 - 21100000,4.5 - 5.5 LPA,Noida
"School of Hotel and Catering Management, VELS Institute of Science, Technology and Advanced Studies",5,9,10000 - 2300000,3.85 - 4.45 LPA,Chennai
"Institute of Productivity and Management, Ghaziabad",NULL,3,90000 - 400000,– / –,Ghaziabad
Pioneer College of Arts and Science,NULL,10,– / –,1.32 LPA,Coimbatore
Sri Siddhartha Institute of Medical Science and Research Center,NULL,11,48,– / –,Bangalore
"D. Y. Patil Institute of Master of Computer Applications and Management, Akurdi",3.9,3,1700000 - 1800000,3.7,Pune
Veer Surendra Sai Institute of Medical Sciences and Research,4.2,25,1100000 - 1300000,4.6,Sambalpur
"H.K.E. Society's, S. Nijalingappa Institute of Dental Sciences and Research",NULL,7,3800000 - 11200000,– / –,Gulbarga
Madras Institute of Hotel Management and Catering Technology,4,9,15,4,Chennai
K.C. Law College,4.4,2,– / –,4.3,Jammu
Chetan Business School Institute of Management and Research,NULL,1 Course,12,– / –,Hubli
Global Academy of Technology,3.9,20,1200000 - 6500000,4.12 - 4.72 LPA,Bangalore
Rao Bahadur Y Mahabaleswarappa Engineering College - RYMEC,4,15,1200000 - 3600000,4.5 LPA,Karnataka - Other
MET Institute of  Pharmacy,3.8,7,12000 - 7300000,4.2,Mumbai
"International Institute of Hotel Management, Pune",4.1,2,5700000 - 7500000,4.4,Pune
"Shri Ram Murti Smarak College of Engineering, Technology and Research",3.8,6,2200000 - 5300000,3.4,Bareilly
"Patel Group of Institutions (Patel College of Science & Technology, Indore)",2.2,18,90000 - 2200000,2,Indore
Coimbatore Marine College,3.7,14,39000 - 800000,3.5,Coimbatore
Kushabhau Thakre Patrakarita Avam Jansanchar Vishwavidyalaya,3.3,22,128000 - 739000,3.3,Raipur
"Amity University, Kolkata",4,113,60000 - 11100000,3.2,Kolkata
Atal Bihari Vajpayee Institute of Medical Sciences and Dr. Ram Manohar Lohia Hospital,4.5,31,93000 - 1600000,4.5,Delhi
Alva's College,5,27,– / –,5,Karnataka - Other
Shri Girraj Maharaj College,4,13,13,3.4,Mathura
Wisdom Faculty of Management Studies,NULL,1 Course,– / –,– / –,Rajasthan - Other
"School of Design, MIT WPU",4,5,1400000,3.55 LPA,Pune
Maharshi Dayanand Law College,2.8,2,585,2,Jaipur
The Oberoi Centre of Learning and Development (OCLD),NULL,8,– / –,– / –,Delhi
Shree Swami Atmanand Saraswati Institute of Technology,3.3,9,29,2.35 LPA,Surat
Bishop Moore College,3.6,18,2000 - 66000,1.8 - 2.4 LPA,Kerala - Other
Guwahati College of Architecture and Planning,NULL,3,400000 - 7300000,– / –,Guwahati
Rajshree Institute of Management and Technology,3.2,53,23000 - 2400000,1.8 - 2.4 LPA,Bareilly
Karpagam Faculty of Medical Sciences and Research,4.1,17,1900000 - 17600000,4.5,Coimbatore
Government College of Pharmacy,3.5,4,98,3.2,Maharashtra - Other
Babulal Tarabai Institute of Research and Technology (BTIRT),3.6,15,765000 - 2300000,3,Sagar
McGAN's Ooty School of Architecture,NULL,2,50000 - 2500000,– / –,Ooty
Career College of Law,3.9,9,11000 - 2800000,3 LPA,Bhopal
Acharya Institute of Health Sciences,4.5,15,200000 - 3300000,4.5,Bangalore
Sushila Devi Bansal College of Engineering,3.5,9,772000 - 2200000,3.4,Indore
Rungta College of Dental Sciences and Research,5,10,600000 - 15300000,5,Bhilai
NIMS University,NULL,29,35000 - 6000000,1.8 - 3.55 LPA,Jaipur
"New Law College, Ahmednagar",3.2,2,427,3,Ahmednagar
Bihar Institute of Law,3.8,2,471000 - 100000,3,Patna
Baba Ghulam Shah Badshah University,3.7,44,108000 - 300000,2.77 - 4 LPA,Jammu
"Government College ,Margao",NULL,1 Course,– / –,1.08 LPA,South Goa
"Chitkara School of Health Sciences, Chitkara University, Chandigarh",4.8,19,1800000 - 5200000,4.5 - 5.25 LPA,Chandigarh
Pandit Dev Prabhakar Shastri College of Technology (PDSCT),3.1,8,1400000 - 1800000,1.5,Madhya Pradesh - Other
University of Patanjali,3.3,33,88000 - 10800000,2.1 - 2.25 LPA,Haridwar
J.J. College of Engineering and Technology,3.3,15,35000 - 200000,2.1,Tiruchirappalli
Potti Sreeramulu Telugu University - PSTU,NULL,52,700 - 132000,– / –,Hyderabad
Ideas Institute of Design Education and Architecture Studies,4,2,973000 - 4900000,3,Nagpur
International Institute of Culinary Arts and Career Management,4.9,4,2700000 - 4800000,5,Pune
"UEI Global, Thiruvananthapuram",NULL,22,1300000 - 1900000,– / –,Thiruvananthapuram
Raj Kumar Goel Institute of Technology (RKGIT),3.6,24,100000 - 2800000,3.5 - 3.96 LPA,Ghaziabad
"Academy of Pastry and Culinary Arts, Gurgaon Campus",NULL,3,1300000 - 6800000,– / –,Gurgaon
Vivekananda Global University,4,150,50000 - 12500000,3.7,Jaipur
NIMAS,4.4,12,– / –,4.2,Kolkata
Adi Shankara Institute of Engineering and Technology,3.7,17,1600000 - 300000,3.5 - 4 LPA,Ernakulum
"Government College of Engineering, Chandrapur",3.5,12,759000 - 100000,3.36 LPA,Chandrapur
College of Applied Education and Health Sciences,NULL,1 Course,– / –,– / –,Meerut
Shri H K Arts College,3.7,14,– / –,2.7,Ahmedabad
"Institute of Productivity and Management (IPM, Kanpur)",NULL,1 Course,25,– / –,Kanpur
"State Institute of Engineering and Technology, Nilokheri",3.8,8,12,3.7,Karnal
Mumbai Institute of Management and Research (MIMR),2.5,1 Course,26,2.5,Mumbai
"University Institute of Engineering and Technology, CSJM University",3.6,22,1200000 - 4200000,2.5 - 3.73 LPA,Kanpur
Adhunik Institute of Productivity Management & Research,NULL,1 Course,13,– / –,Ghaziabad
Dr. D. Y. Patil Dental College and Hospital,4.6,14,60000 - 5100000,4.5,Pune
Hans Raj Mahila Maha Vidyalaya,3.7,55,31000 - 2300000,1.8 - 2.18 LPA,Jalandhar
SCMS School of Architecture,4,1 Course,28,4,Ernakulum
Dasmesh Institute of Research and Dental Sciences,3.7,8,6600000 - 17600000,2.4 - 3 LPA,Faridkot
"Government Engineering College, Gandhinagar",4.1,11,6000 - 182000,3.5,Gandhinagar
"SHUATS - Sam Higginbottom University of Agriculture, Technology and Sciences",3.5,249,15000 - 6400000,2.5 LPA,Allahabad
Andhra Mahila Sabha School of Informatics,3.7,2,90000,3.3,Hyderabad
"Hamdard Institute of Medical  Sciences And Research, New Delhi",3.7,16,31500000 - 12 Cr,8 - 13 LPA,Delhi
K.S. Group of Institutions,3.6,29,128000 - 6500000,2.2 - 3.5 LPA,Bangalore
Sarojini Naidu Vanita Mahavidyalaya College For Women,5,6,676000 - 90000,5,Hyderabad
Sharda School of Humanities & Social Sciences,4.2,20,30000 - 4600000,3 LPA,Greater Noida
Annai Therasa Arts and Science College,3.6,10,4000 - 81000,1.25 - 1.5 LPA,Kanchipuram
Abasaheb Garware Institute of Management Studies,NULL,1 Course,905,2.5 LPA,Sangli
Sunder Deep College of Architecture,4.1,2,1300000 - 3200000,3.6,Ghaziabad
"School of Legal Studies, Apeejay Stya University",NULL,3,7800000 - 1300000,– / –,Gurgaon
MBM Engineering College,3.7,39,60000 - 200000,3.6,Jodhpur
"RCC Institute of Information Technology, Kolkata",3.7,12,1600000 - 3600000,4.11 LPA,Kolkata
Shevaroys College of Hotel Management and Catering Technology,NULL,3,– / –,– / –,Salem
"Shobhit University, Gangoh",4.1,124,324000 - 15100000,3.3,Saharanpur
Shri Yogindra Sagar Group of Institutes,NULL,5,18,– / –,Ratlam
"M.E.S. College of Arts, Science and Commerce",4.1,3,657,2.9 LPA,Bangalore
Janseva Shikshan Mandal Arts Commerce and Science College,NULL,3,– / –,– / –,Thane
Amjad Ali Khan College of Business Administration (AAKCBA),3.9,1 Course,14,3.75 LPA,Hyderabad
The Oxford College of Arts,3.8,9,– / –,2.5,Bangalore
"Sandip University, Nashik",4.1,100,30000 - 7600000,0.24 - 4.5 LPA,Nashik
Guru Nanak Institute of Pharmaceutical Science and Technology,4.4,19,1800000 - 5300000,2.58 - 4.02 LPA,Kolkata
VIBRM - Vaishali Institute of Business and Rural Management,4.2,5,300000,3.8,Muzaffarpur
"Vidya Prabodhini College of Commerce, Education, Computer and Management",NULL,3,– / –,0.8 - 1.44 LPA,Margao
KPC Medical College and Hospital,4.4,22,17300000 - 50300000,4.8,Kolkata
"NMIMS Global Access School for Continuing Education, Mumbai",4,41,275000 - 600000,3.5,Mumbai
Monarch International College of Hotel Management - MICHM,NULL,4,2200000 - 5800000,– / –,Ooty
Annoor Dental College,NULL,7,13200000 - 26600000,4 - 4.33 LPA,Kerala - Other
"Techno Engineering College,Indore",NULL,2,78000 - 1800000,– / –,Indore
"ICRI - Ajeenkya DY Patil University, Pune",NULL,19,30000 - 700000,– / –,Pune
Royal College of Law,3.9,2,– / –,3.3,Ghaziabad
"Bebe Nanaki University College, Mithra, GNDU",3.1,16,114000 - 696000,4.25 LPA,Kapurthala
"IIAS School of Management, Siliguri",3.9,5,2300000 - 3800000,4.5,Siliguri
"SRM Institute of Science and Technology, Chennai - Vadapalani Campus",3.8,31,60000 - 1200000,2.75 - 7 LPA,Chennai
"ESIC Medical College and PGIMSR and Model Hospital, Bangalore",4.2,15,4900000 - 7900000,4.5,Bangalore
B.D. Kale Mahavidhyalaya,NULL,1 Course,– / –,– / –,Pune
SECE - Sri Eshwar College of Engineering,4.3,18,50000 - 200000,3 - 3.5 LPA,Coimbatore
Sasi Creative Colleges,4.1,10,25,2.4 LPA,Coimbatore
"Vinayak Ganesh Vaze College of Arts, Science and Commerce",3.8,16,24000 - 54000,1.86 - 2.94 LPA,Mumbai
International Institute of Hotel Management,4.3,3,92000 - 500000,4.4,Hyderabad
"Manipal College of Pharmaceutical Sciences, Manipal Academy of Higher Education",4.3,18,100000 - 15800000,3 - 6.5 LPA,Manipal
Bundelkhand Institute of Engineering and Technology,3.5,22,1100000 - 2900000,3 - 4.4 LPA,Jhansi
Assam Engineering College,3.9,24,33000 - 44000,3.5,Guwahati
"School of Dental Sciences (SDS), Sharda University",4.6,8,14600000 - 23100000,4.1,Greater Noida
Smt. Padambai Kapurchandji Kotecha Mahila Mahavidyalaya,NULL,22,30000,0.84 - 1.9 LPA,Bhusawal
Dev Bhoomi Uttarakhand University,3.9,82,25000 - 700000,3.9,Dehradun
GL Bajaj Institute of Management,4.6,2,29,4.6,Greater Noida
Vidyasagar Institute of Management,4,3,100000,4,Bhopal
Mansi Bharat Gada Degree College of Commerce and Science,4.1,21,87,3.3,Thane
"ICRI - Jagannath University, Delhi",3.6,36,30000 - 600000,5 LPA,Delhi
"Krishna Group of Institutions, Kanpur",4.3,25,60000 - 5200000,4.1,Kanpur
Deen Dayal Upadhyaya Institute of Management and Higher Studies,NULL,1 Course,19,– / –,Kanpur
"T.D. Medical College, Alappuzha",4.6,47,105000 - 4800000,4,Kerala - Other
Furkating College,NULL,1 Course,– / –,– / –,Golaghat.
"Srishti Manipal Institute of Art, Design And Technology, Manipal Academy of Higher Education",3.6,56,3100000 - 23800000,3 - 11.68 LPA,Bangalore
NIE Institute of Technology,4.2,5,26,3.6 LPA,Mysore
"Graphic Era Hill University, Dehradun",4,79,1200000 - 19200000,3.9,Dehradun
Hyderabad School of Business,4,3,23,3.7,Hyderabad
"Institute of Engineering and Rural Technology, Allahabad",3.5,27,75000 - 2400000,3.2,Allahabad
LDRP Institute of Technology and Research,3.8,18,1900000 - 4300000,3.6,Gandhinagar
"College of Ayurved, Bharati Vidyapeeth",3.9,21,30000 - 23600000,4 - 5.5 LPA,Pune
Institute of Medical Sciences and SUM Hospital - Siksha 'O' Anusandhan University,4.5,59,2200000 - 9000000,3.25 - 10.8 LPA,Bhubaneswar
Raghu Engineering College,4.1,14,70000 - 2800000,2.6 - 2.7 LPA,Visakhapatnam
Baba Farid University of Health Sciences,4,33,25000 - 1200000,4,Faridkot
"Manipal College of Dental Sciences, Manipal, Manipal Academy of Higher Education",4.6,13,1100000 - 35900000,3.75 - 4.5 LPA,Manipal
Uttaranchal College of Science and Technology,4.2,26,30000 - 1800000,3,Dehradun
Goel Group of Institutions,4.2,47,56000 - 3100000,3.9,Lucknow
"School of Science and Humanities, SRM IST, Chennai",4.4,62,75000 - 400000,2.75 - 4.5 LPA,Chennai
Amrita Vishwa Vidyapeetham - Amaravati Campus,NULL,2,1400000,4.5 LPA,Guntur
"ASM (CSIT) College of Commerce, Science and Information Technology",3.9,14,1800000 - 2500000,3.3,Pune
Birla Global University,4.4,27,5000 - 7500000,6 LPA,Bhubaneswar
"Government College of Engineering and Research, Avasari",4.1,6,60000,3.89 LPA,Pune
Adani Institute of Infrastructure Engineering,3.9,8,66,3.6 LPA,Ahmedabad
Bhaarath Medical College and Hospital,4.4,10,405000 - 600000,6.5 - 9.5 LPA,Chennai
"NIMS School of Humanities and Social Sciences, NIMS University",3.9,53,30000 - 1200000,1.8 - 5.26 LPA,Jaipur
Geetanjali University,4.1,76,435000 - 21 Cr,2.16 - 10.75 LPA,Udaipur
"School of Nursing and Allied Health Sciences, Noida International University",2.8,29,40000 - 4800000,2.5,Greater Noida
Loyola Institute of Technology,3.1,18,35000 - 200000,2.9,Chennai
"GITAM School of Science, Visakhapatnam",4.3,28,90000 - 5700000,3 - 4.4 LPA,Visakhapatnam
"Goa Medical College, Panaji",4.8,45,1600000 - 4800000,7.15 - 8.4 LPA,Goa - Other
L M College of Pharmacy,4.1,8,22000 - 10500000,2.5 - 3 LPA,Ahmedabad
"NIMS College of Physiotherapy and Occupational Therapy, NIMS University",3.4,13,90000 - 400000,3.55 - 3.74 LPA,Jaipur
"Symbiosis Medical College for Women, Symbiosis International, Pune",4.9,1 Course,1 Cr,12.5 LPA,Pune
Kamla Nehru Institute of Technology,3.5,19,1100000 - 3400000,3.3,Uttar Pradesh - Other
Jayawantrao Sawant College of Pharmacy and Research,3.9,2,– / –,3.7,Pune
AIIMS Gorakhpur - All India Institute of Medical Sciences,4.2,3,61,4.3,Gorakhpur
Guru Gobind Singh Medical College and Hospital,4.1,63,10000 - 19500000,4.3,Faridkot
"ISAS International Beauty School, Pune",NULL,31,– / –,– / –,Pune
"Karnavati School of Dentistry, Karnavati University",4.2,9,13500000 - 21800000,3.25 - 4.5 LPA,Ahmedabad
SHEAT College of Engineering,3.8,14,100000 - 3400000,2.5 - 3.5 LPA,Varanasi
"Department of Law, Maharshi Dayanand University",3.9,5,940 - 924000,7.1 - 8.2 LPA,Rohtak
"Delhi Technological University, East Delhi",4.1,7,1800000 - 4300000,10 LPA,Delhi
Arch College of Design and Business,4.3,22,75000 - 21600000,4.2,Jaipur
"International School of Design, Pune",NULL,52,62000 - 5900000,– / –,Pune
"MGM Medical College, Navi Mumbai",4.4,29,2100000 - 2 Cr,10 - 14.4 LPA,Mumbai
"Maharaja's College, University of Mysore",3.8,29,54000 - 307000,2.05 LPA,Mysore
SDA Bocconi Asia Center,4.5,4,100000 - 1800000,12.74 LPA,Mumbai
Terna Medical College,4.2,2,13900000 - 3500000,4.3,Navi Mumbai
Ok College of Pharmacy,NULL,1 Course,– / –,– / –,Rajasthan - Other
"Apollo Institute of Medical Sciences and Research, Hyderabad",3.8,19,2300000 - 22500000,2.8,Hyderabad
"College of Vocational Studies, University of Delhi",4,19,13000 - 1400000,4 - 5 LPA,Delhi
"School of Distance Education, Bharathiar University",3.4,85,12000 - 506000,2.4 - 6.8 LPA,Coimbatore
Mahatma Gandhi University of Medical Sciences and Technology,4.1,119,50000 - 17 Cr,3.9,Jaipur
"Rural Medical College , Loni",4.1,40,12100000 - 7500000,3.1 - 18 LPA,Maharashtra - Other
Dr. D. Y. Patil School of Engineering and Technology,3.7,13,18000 - 3300000,6 LPA,Pune
Mahatma Gandhi Kashi Vidyapith,3.9,98,15000 - 90000,2.4 - 6.2 LPA,Varanasi
Xavier Institute of Management and Research,4.4,1 Course,52,3.7,Mumbai
NSB Academy,4.4,5,15000 - 30000,4.3,Bangalore
The Bombay Flying Club,3.2,15,100000 - 34600000,3 - 10 LPA,Mumbai
St . Stephen's College of Nursing,NULL,12,1700000 - 500000,– / –,Delhi
H.B.T. Medical College And Dr. R.N. Cooper Municipal General Hospital,4,21,2300000 - 5500000,4.3,Mumbai
Government College of Engineering and Ceramic Technology,4,6,361000 - 1100000,3 LPA,Kolkata
"Alliance School of Law, Alliance University",3.9,5,300000 - 1500000,3.65 - 5.2 LPA,Bangalore
"Institute of Forensic Science, Mumbai",NULL,2,90000,– / –,Mumbai
"Amrut Mody School of Management, Ahmedabad University",4.1,28,1500000 - 2000000,3.6,Ahmedabad
NSS College of Engineering,4.2,14,238000 - 346000,3.55 - 4 LPA,Palakkad
J.N.N Institute of Engineering,3.8,10,35000 - 200000,3.7,Chennai
"INSOFE School of Data Science, Vijaybhoomi University",NULL,2,1600000,– / –,Mumbai
"NIMS Institute of Medical and Allied Sciences, NIMS University",4.1,24,70000 - 4800000,1.8 - 3.74 LPA,Jaipur
Mysore Medical College And Research Institute,4.5,36,1200000 - 6700000,4.7,Mysore
Thanjavur Medical College,4.1,51,40000 - 1400000,3.8,Thanjavur
Arena Animation,3.9,37,– / –,3.7,Mumbai
SR Group of Institutions,3.6,21,1300000 - 3400000,3,Lucknow
Pune Institute of Aviation Technology,4.5,2,1500000 - 2700000,4.1,Pune
VMOU - Vardhman Mahaveer Open University,3.7,84,12000 - 621000,3.4,Kota
"Directorate of Distance Education, Madurai Kamaraj University",3.7,165,3000 - 36000,1.2 - 2.15 LPA,Madurai
Neotia Institute of Technology Management & Science - NITMAS,4,9,41,3.6,Kolkata
Feroze Gandhi Institute of Engineering and Technology,3,10,1200000 - 2400000,2.8,Uttar Pradesh - Other
The Neotia University,4.3,78,45000 - 6400000,4.1,Kolkata
Swami Vivekananda Institute of Modern Science - SVIMS,4,10,1100000 - 1900000,3.6,Kolkata
Narayana Business School,4.3,5,1500000 - 10800000,7.5 LPA,Ahmedabad
Sinhgad College of Science,3.5,12,– / –,3,Pune
"Chitkara College of Pharmacy, Chitkara University, Chandigarh",4,9,3100000 - 1400000,7.75 - 8.5 LPA,Chandigarh
Usha Martin University,3.9,56,55000 - 6600000,3.5,Ranchi
MITE - Mangalore Institute of Technology and Engineering,4,16,1200000 - 6500000,3.36 - 4.1 LPA,Mangalore
"Government Engineering College, Yavatmal",2.7,5,96000,3,Yavatmal
Anna University - Coimbatore Regional Campus,3.6,15,35000 - 200000,5 - 6.3 LPA,Coimbatore
"Cochin University College of Engineering Kuttanad, Cochin University of Science and Technology, Kochi",3.7,8,643000 - 3600000,3.2 - 5.73 LPA,Kerala - Other
"Delhi School of Management, DTU",4.2,3,2900000 - 3800000,10 LPA,Delhi
KINS - Kalinga Institute of Nursing Sciences,4.8,7,1100000 - 3900000,6 - 9 LPA,Bhubaneswar
"Symbiosis Law School, Symbiosis International, Noida",3.8,4,1600000 - 16500000,3.5,Noida
DR. D. Y. Patil Institute of  Pharmaceutical Sciences and Research,4.3,8,12000 - 5700000,2.93 - 3.2 LPA,Pune
"Dr. D.Y.Patil Pratishthan's, Y.B.Patil Polytechnic",4.4,8,18000 - 85000,3.7,Pune
"GEMS B School, Bangalore",3.5,18,3200000 - 1200000,3.3,Bangalore
Madurai Medical College,4,50,96000 - 3200000,5.04 - 9.39 LPA,Madurai
ADTU - Assam Down Town University,4.1,89,3300000 - 24800000,1.36 - 3 LPA,Guwahati
"Directorate of Distance Education, Kurukshetra University",3.6,41,19000 - 334000,2.8 LPA,Kurukshetra
IFIM College,4.1,6,400000 - 12500000,6.5 LPA,Bangalore
"JNTUH  College of Engineering Jagtial, Jawaharlal Nehru Technological University, Hyderabad",4.1,11,200000,5.5 LPA,Telangana-Other
St. Thomas' College of Engineering and Technology - STCET,3.9,8,2500000 - 3900000,4.5 LPA,Kolkata
Samundra Institute of Maritime Studies,4.6,4,4300000 - 18600000,4.6,Pune
N.C. Medical College and Hospital,3.9,11,42100000 - 56200000,3.8,Panipat
Amal Jyothi College of Engineering,3.7,27,100000 - 300000,3.81 - 4.08 LPA,Kottayam
"JSS College of Pharmacy, JSS Academy of Higher Education and Research, Ooty",4.6,22,1100000 - 17100000,5.4 - 8.4 LPA,Ooty
"School of Distance Education, University of Kerala",3.8,26,31000 - 823000,3.6,Thiruvananthapuram
"College of Arts, University of Delhi",3,12,42000 - 383000,8 LPA,Delhi
"SMS - School of Management Sciences, Varanasi",4,8,80000 - 3200000,4.1 LPA,Varanasi
"Dr. Ram Manohar Lohia Institute of Medical Science, Lucknow",4.5,24,81000 - 2200000,10 LPA,Lucknow
"Aliah University, New Town",4.1,56,45000 - 975000,1 - 4.2 LPA,Kolkata
"Rajiv Gandhi Medical College,Thane",4.7,8,300000 - 5100000,4.8,Thane
Kaloji Narayana Rao University of Health Sciences,NULL,106,45000 - 72600000,– / –,Warangal
"Institute of Distance and Open Learning, University of Mumbai",3.9,23,103000 - 509000,4.5 - 15 LPA,Mumbai
Dr. B.R. Ambedkar Open University (BRAOU),4,41,16000 - 1200000,3.7,Hyderabad
"Manipal Tata Medical College, Manipal Academy of Higher Education",NULL,8,2600000 - 48400000,3.5 - 8.88 LPA,Jamshedpur
Shri Ramswaroop Memorial University,3.6,115,25000 - 7100000,1.56 - 2.54 LPA,Lucknow
"SIES (Nerul) College Of Arts, Science And Commerce",4.3,12,213000 - 986000,2 LPA,Navi Mumbai
Sri Ramachandra Faculty of Engineering and Technology,4.3,11,1500000 - 1000000,2.5 - 3.81 LPA,Chennai
"Jodhpur Institute of Engineering and Technology, JIET Group of Institutions",3.7,11,1600000 - 400000,3.6,Jodhpur
"B.P. Marine Academy, Panvel",4.1,11,65000 - 8600000,2.7,Mumbai
TMV - Tilak Maharashtra Vidyapeeth,3.5,40,105000 - 4300000,3.6 LPA,Pune
Karnavati University,4.8,5,3300000 - 8300000,5,Ahmedabad
"School of Engineering and Applied Science, Ahmedabad University",4.1,9,3500000 - 1200000,3.3,Ahmedabad
"Christian Medical College Vellore, Chittoor Campus",NULL,5,400 - 32000,– / –,Chittoor
SAM Global University,4,214,3000 - 3400000,3.3,Bhopal
Ravenshaw University,4.2,55,35000 - 3400000,2.5 - 3.5 LPA,Cuttack
Karnataka College of Pharmacy,3.6,10,643000 - 5900000,2.75 - 3.84 LPA,Bangalore
All India Institute of Management Studies,NULL,83,19000 - 102000,– / –,Chennai
"NMIMS, Hyderabad",3.8,13,2500000 - 12600000,5.5 - 19.2 LPA,Hyderabad
"Regional College of Management, Bangalore",4.8,7,1200000 - 1500000,8.5 LPA,Bangalore
Chettinad College of Nursing,NULL,7,1700000 - 4600000,3.8 - 4.6 LPA,Chennai
Uttarakhand Open University,3.1,119,800 - 40000,2.1,Haldwani
Accurate Group of Institutions,3.9,30,100000 - 600000,3.2 LPA,Greater Noida
Sree Balaji Medical College and Hospital,3.7,24,900000 - 18 Cr,9.5 - 20 LPA,Chennai
Maharishi University of Information Technology,4,71,315000 - 3300000,3.8,Lucknow
"Indira Gandhi Institute of Medical Sciences, Patna",4.9,43,45000 - 600000,0.81 LPA,Patna
"Government Polytechnic, Ahmedabad",4.3,10,3000,4.1,Ahmedabad
L.J. Institute of Management Studies,4.1,6,17,4.15 LPA,Ahmedabad
Anant National University (AnantU),3.8,16,1500000 - 1500000,3.3,Ahmedabad
Tamil Nadu Open University,4.4,113,300 - 368000,4,Chennai
Sharda School of Basic Sciences & Research,4,28,1800000 - 5200000,3 LPA,Greater Noida
"Dyal Singh College, University of Delhi",4,53,417000 - 524000,4.5 LPA,Delhi
Mangalmay Institute of Engineering and Technology,4.4,3,300000,3.5 LPA,Greater Noida
"MIT School of Food Technology, MIT-ADT University",3.6,4,565000 - 7700000,4.54 - 5.15 LPA,Pune
"MANET-Maharashtra Academy of Naval Education and Training, MIT-ADT University",4.1,3,7700000 - 10300000,3.5,Pune
Dr. D. Y. Patil College of Nursing,NULL,8,11,– / –,Pune
Doon Institute of Medical Sciences (DIMS),4.7,15,1300000 - 2900000,4.8,Dehradun
Maharaja Agrasen Medical College,4.5,15,2300000 - 8800000,4.8,Hisar
Central University of Jammu,3.9,46,24000 - 2400000,2.4 - 3.6 LPA,Jammu
"Sunandan Divatia School of Science, NMIMS, Mumbai",4,13,2200000 - 700000,5.5 - 19.2 LPA,Mumbai
"Amrita School of Dentistry, Amrita Vishwa Vidyapeetham - Kochi Campus",5,13,20000 - 37800000,4.8 - 16.5 LPA,Kochi
Rayat Bahra University,3.7,318,10000 - 7700000,1 - 5 LPA,Mohali
